Name,RA(J2000),DEC(J2000),Radius,magnitude
V479 And,00 18 56.9,+34 54 44,0.5,17.5
V1309 Ori,05 15 41.4,+01 04 40,0.5,15.5
AI Tri,02 03 48.6,+29 59 26,0.5,14.7
J0649-0737,06 49 50.8,-07 37 41,0.5,18.0B
MQ Dra,15 53 31.1,+55 16 15,0.5,17.3
J2048+0050,20 48 27.9,+00 50 09,0.5,19.4g
0922+1333,09 24 56.0,+13 20 53,0.5,17.
VY For,03 32 04.6,-25 56 56,0.5,17.5
J0227+1306,02 27 32.9,+13 06 17,0.5,17.0
J1740-2418,17 40 48.9,-24 18 34,0.5,17.5I
J1424-0227,14 24 39.0,-02 27 39,0.5,19.6B
QQ Vul,20 05 41.9,+22 39 59,0.5,14.2
J2340+7642,23 40 20.6,+76 42 11,0.5,16.0:
J0749-0549,07 49 10.4,-05 49 26,0.5,19.0B
V358 Aqr,23 16 03.6,-05 27 08,0.5,15.7R
J1007-2017,10 07 34.6,-20 17 33,0.5,16.
MN Hya,09 29 07.1,-24 05 05,0.5,16.5
V388 Peg,21 57 32.4,+08 55 14,0.5,17.5
J1422-0221,14 22 56.4,-02 21 07,0.5,19.4B
V1432 Aql,19 40 11.5,-10 25 25,0.5,14.9
J1751-2934,17 51 22.7,-29 34 36,0.5,18.8R
BY Cam,05 42 48.9,+60 51 32,0.5,14.0
V1500 Cyg,21 11 36.6,+48 09 02,0.5,19.2
J0733+2619,07 33 46.3,+26 19 26,0.5,17.4
J0837+3830,08 37 51.0,+38 30 12,0.5,18.9
V519 Ser,16 10 07.5,+03 52 33,0.5,16.5R
J0759+1914,07 59 39.8,+19 14 17,0.5,18.2g
AM Her,18 16 13.3,+49 52 04,0.5,12.0
V4633 Sgr,18 21 40.5,-27 31 38,0.5,18.7B
J2319+2615,23 19 30.3,+26 15 19,0.5,16.5
J2250+5731,22 50 37.0,+57 31 54,0.5,20.3
J1751-2933#1,17 51 51.2,-29 33 10,0.5,>22.3R
HY Eri,05 01 46.3,-03 59 21,0.5,17.5
J2102+3359,21 02 01.4,+33 59 30,0.5,16.6
WX LMi,10 26 27.5,+38 45 04,0.5,nan
EU Lyn,07 52 40.5,+36 28 23,0.5,17.8
PZ Vir,13 24 11.6,+03 20 51,0.5,20.5
J0524+4244,05 24 30.5,+42 44 51,0.5,16.5
AP CrB,15 54 12.3,+27 21 52,0.5,17.0
V654 Aur,07 29 10.7,+36 58 38,0.5,nan
J0859+0536,08 59 09.2,+05 36 55,0.5,15.6
J1751-2929#2,17 51 31.6,-29 29 56,0.5,23.1:
V1189 Her,16 29 36.5,+26 35 20,0.5,18.8
J1503-2207,15 03 54.0,-22 07 11,0.5,16.4
J1333+1437,13 33 09.2,+14 37 07,0.5,18.5B
HU Leo,09 24 44.5,+08 01 51,0.5,19.3g
J2218+1925,22 18 32.7,+19 25 21,0.5,17.9
MT Dra,18 46 58.9,+55 38 29,0.5,20.
UZ For,03 35 28.6,-25 44 23,0.5,15.5
J0325-0814,03 25 39.4,-08 14 43,0.5,14.5:
EU Cnc,08 51 27.2,+11 46 57,0.5,20.1
HU Aqr,21 07 58.3,-05 17 39,0.5,14.5
J0614-2725,06 14 51.7,-27 25 35,0.5,nan
J1743-0429,17 43 20.3,-04 29 57,0.5,15.1R
J1751-2929#1,17 51 29.1,-29 29 24,0.5,>22.2R
V1901 Aql,20 31 37.6,-00 05 12,0.5,nan
J0328+0522,03 28 55.0,+05 22 54,0.5,18.0g
V2951 Oph,17 30 06.5,+03 38 20,0.5,16.5:
V1007 Her,17 24 06.3,+41 14 09,0.5,17.6
V808 Aur,07 11 26.0,+44 04 05,0.5,14.4
V1237 Her,17 00 53.3,+40 03 58,0.5,nan
J0810+0024,08 10 30.6,+00 24 29,0.5,16.5
AR UMa,11 15 44.7,+42 58 23,0.5,13.3
AN UMa,11 04 25.7,+45 03 15,0.5,14.5
EK UMa,10 51 35.2,+54 04 36,0.5,nan
J0357+1029,03 57 58.6,+10 29 42,0.5,19.2R
ST LMi,11 05 39.8,+25 06 29,0.5,13.7
MR Ser,15 52 47.2,+18 56 28,0.5,14.9
FR Lyn,08 54 14.0,+39 05 37,0.5,16.4
V884 Her,18 02 06.5,+18 04 43,0.5,14.5
V2301 Oph,18 00 35.6,+08 10 13,0.5,16.1
J0333+3321,03 33 56.9,+33 21 51,0.5,17.3
J1751-2933#2,17 51 33.6,-29 33 13,0.5,22.4
J1002-1925,10 02 11.7,-19 25 38,0.5,17.0
