Name,RA(J2000),DEC(J2000),Radius,magnitude
V1017 Sgr,18 32 04.5,-29 23 12,0.5,13.7
V630 Cas,23 48 51.9,+51 27 39,0.5,16.2
EQ CMa,06 48 51.6,-16 18 03,0.5,11.9
GK Per,03 31 12.0,+43 54 16,0.5,12.8
HV Cet,03 05 58.5,+05 47 14,0.5,18.5
J2044-0459,20 44 48.9,-04 59 29,0.5,16.7
V5589 Sgr,17 45 28.0,-23 05 23,0.5,17.0
X Ser,16 19 17.7,-02 29 30,0.5,17.6
V2674 Oph,17 26 32.1,-28 49 39,0.5,21.5
U Sco,16 22 30.8,-17 52 44,0.5,18.5
V1082 Sgr,19 07 21.9,-20 46 50,0.5,14.0
J2124+0502,21 24 12.4,+05 02 44,0.5,12.3
J1714+5851,17 14 56.8,+58 51 28,0.5,15.0
V726 Sgr,18 19 33.7,-26 53 20,0.5,19.4
V731 Cas,23 57 00.3,+56 45 08,0.5,19.1
V364 Lib,15 09 46.6,-21 47 46,0.5,11.5
V723 Cas,01 05 05.4,+54 00 41,0.5,18.8
V368 Aql,19 26 34.4,+07 36 14,0.5,16.2
QR And,00 19 49.8,+21 56 53,0.5,12.2
V445 Pup,07 37 56.9,-25 56 59,0.5,14.6
V2731 Oph,17 30 21.9,-05 59 32,0.5,16.3
V478 Her,17 21 05.6,+23 39 40,0.5,17.5
CI Aql,18 52 03.6,-01 28 39,0.5,17.0
J1930+0530,19 30 50.8,+05 30 58,0.5,11.0
V841 Oph,16 59 30.3,-12 53 27,0.5,13.2
V479 And,00 18 56.9,+34 54 44,0.5,17.5
DI Lac,22 35 48.6,+52 43 00,0.5,14.2
V Sge,20 20 14.8,+21 06 09,0.5,9.5
V2690 Cyg,19 51 47.5,+37 16 48,0.5,15.5
UY Pup,07 46 31.2,-12 57 09,0.5,15.3
EY Cyg,19 54 36.8,+32 21 55,0.5,14.5
DX And,23 29 46.7,+43 45 04,0.5,14.0
J1755-2816,17 55 53.3,-28 16 34,0.5,15.0
V537 Peg,22 43 40.7,+30 55 20,0.5,16.5
Q Cyg,21 41 43.9,+42 50 29,0.5,14.3
0928+5004,09 32 14.9,+49 50 54,0.5,14.3
