  MaNGAID           RA         DEC         Z           Re_arc  
  manga-10493-1902  124.32737  52.029915   0.038888033 2.13931 
  manga-10220-12701 120.348595 32.883804   0.018459836 11.4111 
  manga-9889-1902   234.8586   24.94357    0.023056375 3.25608 
  manga-9876-3702   194.57767  27.310818   0.025352137 4.37091 
  manga-9867-3702   221.635    49.01056    0.037229314 2.52405 
  manga-9000-1901   171.40065  54.382576   0.020594344 2.36301 
  manga-8982-3703   203.1901   26.580376   0.047375116 1.22351 
  manga-8934-3701   194.0255   27.67798    0.016809803 4.18054 
  manga-8932-3701   194.65533  27.176556   0.025829805 4.87707 
  manga-8724-12702  132.01706  54.028023   0.049639173 2.90297 
  manga-8626-12704  263.75522  57.052433   0.04780224  0.869215
  manga-8615-3703   320.82642  1.25498     0.018460263 4.20993 
  manga-8446-1901   205.75334  36.165657   0.024084365 1.97205 
  manga-8260-6101   182.40875  42.009666   0.022952812 5.5716  
  manga-7992-6102   253.88908  63.24212    0.022831032 6.52681 
  manga-7968-3704   322.60788  -0.47452074 0.020148618 4.22044 
