Name,RA(J2000),DEC(J2000),Radius,magnitude
IC10 SySt-1,00 20 33.590,+59 18 45.900,0.5,24.62
CXOM31 J003825.7+401739,00 38 25.750,+40 17 38.654,0.5,19.40
M31SyS J003846.16+400717.0,00 38 46.159,+40 07 16.997,0.5,-
M31SyS J003857.17+403132.2,00 38 57.190,+40 31 32.196,0.5,20.85
NGC 185 SySt-1,00 38 59.942,+48 19 26.239,0.5,-
M31SyS J003923.79+400543.4,00 39 23.792,+40 05 43.379,0.5,21.00
M31SyS J003932.01+401224.7,00 39 32.010,+40 12 24.707,0.5,-
M31SyS J003951.85+402153.8,00 39 51.840,+40 21 53.712,0.5,-
M31SyS J004005.96+401604.3,00 40 05.955,+40 16 04.317,0.5,-
NGC 205 SySt-2,00 40 07.999,+41 45 24.192,0.5,24.85
NGC 205 SySt-1,00 40 17.464,+41 41 55.319,0.5,-
NGC 205 SySt-3,00 40 20.899,+41 41 41.892,0.5,23.47
M31SyS J004021.10+404501.1,00 40 21.096,+40 45 01.080,0.5,23.03
LGGS J004032.98+404102.8,00 40 32.954,+40 41 02.660,0.5,19.70
M31SyS J004059.40+405003.1,00 40 59.400,+40 50 03.127,0.5,24.19
M31SyS J004117.11+404524.1,00 41 17.110,+40 45 24.084,0.5,22.78
Bol D30,00 41 41.475,+41 03 08.118,0.5,19.02
M31SyS J004147.71+405737.1,00 41 47.712,+40 57 37.084,0.5,-
M31SyS J004155.61+410846.7,00 41 55.608,+41 08 46.684,0.5,21.26
M31SyS J004156.21+410735.0,00 41 56.208,+41 07 35.040,0.5,-
M31SyS J004216.70+404415.7,00 42 16.716,+40 44 15.694,0.5,24.96
M31SyS J004233.17+412720.7,00 42 33.167,+41 27 20.711,0.5,-
M31SyS J004235.59+410148.0,00 42 35.590,+41 01 47.809,0.5,-
M31SyS J004237.49+403813.2,00 42 37.488,+40 38 13.204,0.5,22.35
M31N 2022-09b,00 42 37.880,+41 12 49.100,0.5,-
[O2006] QSS 10,00 42 38.770,+41 15 26.880,0.5,-
M31SyS J004241.96+415656.4,00 42 41.962,+41 56 56.400,0.5,23.50
CXOM31 J004243.1+411604,00 42 43.110,+41 16 03.500,0.5,-
M31N 2017-05b,00 42 49.093,+41 42 41.601,0.5,-
RX J004253.0+411533,00 42 52.500,+41 15 40.100,0.5,-
XMMM31 J004307.1+411810,00 43 06.867,+41 18 08.758,0.5,-
LAMOST J004316.72+412226.3,00 43 16.700,+41 22 27.098,0.5,-
CXO J004318.8+412016,00 43 18.883,+41 20 17.020,0.5,22.43
M31SyS J004319.98+415137.5,00 43 19.976,+41 51 37.541,0.5,-
M31SyS J004322.50+413940.9,00 43 22.479,+41 39 40.853,0.5,20.35
M31SyS J004323.68+413733.6,00 43 23.682,+41 37 33.557,0.5,22.50
XMMM31 J004325.5+411617,00 43 25.540,+41 16 17.400,0.5,-
M31SyS J004334.79+413447.9,00 43 34.774,+41 34 47.801,0.5,20.91
M31SyS J004335.01+414358.2,00 43 34.999,+41 43 58.188,0.5,23.59
M31SyS J004349.54+413855.9,00 43 49.543,+41 38 55.885,0.5,-
M31SyS J004353.59+415323.3,00 43 53.599,+41 53 23.316,0.5,24.66
M31SyS J004358.20+412850.9,00 43 58.200,+41 28 50.880,0.5,-
M31SyS J004359.52+410253.5,00 43 59.517,+41 02 53.516,0.5,-
M31SyS J004411.71+411336.0,00 44 11.709,+41 13 35.944,0.5,20.81
X004414.71+414033.3,00 44 14.708,+41 40 33.320,0.5,-
M31SyS J004421.89+415125.6,00 44 21.891,+41 51 25.650,0.5,21.27
M31SyS J004432.09+411940.8,00 44 32.090,+41 19 40.692,0.5,21.15
M31SyS J004433.74+414402.8,00 44 33.733,+41 44 02.703,0.5,20.82
EG And,00 44 37.199,+40 40 45.457,0.5,7.22
M31SyS J004440.50+412052.2,00 44 40.500,+41 20 52.404,0.5,24.32
M31SyS J004445.03+414156.5,00 44 45.000,+41 41 56.400,0.5,23.12
M31SyS J004521.55+412557.3,00 45 21.499,+41 25 57.216,0.5,23.81
M31SyS J004534.07+413049.0,00 45 34.055,+41 30 48.730,0.5,20.89
M31SyS J004545.41+412851.6,00 45 45.340,+41 28 51.367,0.5,20.05
V520 And,00 59 04.444,+45 52 22.278,0.5,13.31
2MASS J01090044+5203369,01 09 00.440,+52 03 36.882,0.5,12.54
[DWS97] Cet 7,01 09 34.844,-08 00 33.098,0.5,15.14
DT Psc,01 14 04.979,+28 31 45.600,0.5,7.47
M33SyS J013219.75+303731.7,01 32 19.726,+30 37 31.534,0.5,21.12
M33SyS J013239.11+303836.5,01 32 39.110,+30 38 36.492,0.5,22.87
M33SyS J013303.27+303528.3,01 33 03.234,+30 35 28.074,0.5,22.12
M33SyS J013311.10+301528.2,01 33 11.036,+30 15 27.788,0.5,23.25
M33SyS J013327.01+304045.8,01 33 27.010,+30 40 45.804,0.5,23.31
M33SyS J013334.95+305108.3,01 33 34.951,+30 51 08.316,0.5,23.49
M33SyS J013417.72+304119.5,01 34 17.719,+30 41 19.500,0.5,23.17
M33SyS J013430.14+303346.0,01 34 30.122,+30 33 45.878,0.5,22.65
M33SyS J013435.17+303409.4,01 34 35.140,+30 34 09.494,0.5,23.79
M33SyS J013449.50+304736.9,01 34 49.473,+30 47 36.935,0.5,21.48
M33SyS J013457.79+310054.2,01 34 57.769,+31 00 54.418,0.5,23.52
M33SyS J013510.81+305146.8,01 35 10.791,+30 51 46.508,0.5,22.47
AX Per,01 36 22.697,+54 15 02.318,0.5,11.10
V471 Per,01 58 49.665,+52 53 48.426,0.5,13.04
Gaia DR3 457006789709111808,02 11 24.359,+56 26 40.357,0.5,14.53
omi Cet,02 19 20.792,-02 58 39.496,0.5,6.74
BD-14 450,02 25 08.591,-13 24 00.601,0.5,10.86
LAMOST J024120.69+492303.0,02 41 20.221,+49 23 02.685,0.5,10.58
LAMOST J024540.72+502142.2,02 45 40.702,+50 21 39.577,0.5,10.50
LW Cas,02 57 21.588,+60 41 19.661,0.5,-
BD Cam,03 42 09.283,+63 13 00.789,0.5,5.11
K 4-47,04 20 45.222,+56 18 12.115,0.5,-
StHA 32,04 37 45.637,-01 19 11.963,0.5,12.77
LAMOST J043858.27+263108.4,04 38 58.281,+26 31 08.559,0.5,-
Gaia DR3 253162453514199168,04 40 36.426,+45 21 53.585,0.5,-
V353 Aur,04 42 53.624,+36 06 53.401,0.5,-
DV Aur,05 13 20.674,+34 37 04.105,0.5,11.76
IPHAS J052015.87+314938.8,05 20 15.872,+31 49 38.646,0.5,-
UV Aur,05 21 48.912,+32 30 40.125,0.5,10.41
V1261 Ori,05 22 18.696,-08 39 58.099,0.5,6.91
LkHA 295,05 45 48.809,-00 12 36.579,0.5,16.50
LkHA 316,05 47 35.762,+00 38 39.878,0.5,14.75
Gaia DR3 961973138439251968,06 14 44.150,+44 02 34.514,0.5,-
Gaia DR3 3331755360150564608,06 17 50.671,+11 55 00.980,0.5,-
2MASS J06422218-0226285,06 42 22.190,-02 26 28.517,0.5,-
SU Lyn,06 42 55.139,+55 28 27.217,0.5,8.46
MWC 819,06 44 37.669,+01 19 32.622,0.5,15.30
LAMOST J064655.70+403923.1,06 46 55.463,+40 39 23.039,0.5,10.81
V417 CMa,07 01 09.154,-29 06 24.983,0.5,10.61
GH Gem,07 04 12.771,+12 03 34.184,0.5,12.53
Gaia DR3 3047055996867822848,07 13 36.043,-10 52 49.515,0.5,-
SRWW1,07 15 41.697,-01 52 41.610,0.5,14.26
ZZ CMi,07 24 13.997,+08 53 51.719,0.5,10.28
BX Mon,07 25 22.761,-03 35 50.627,0.5,11.24
V694 Mon,07 25 51.286,-07 44 08.075,0.5,10.31
NQ Gem,07 31 54.509,+24 30 12.497,0.5,8.01
